       Node,    Mode,   Dis
      49,      20,     -5.968177E-15,     -4.981365E-16,      6.057039E-17,     -1.816791E-16,      2.181792E-04,     -9.929827E-16	
      57,      20,     -5.970385E-16,      3.817712E-16,     -7.335841E-04,      2.222309E-04,     -1.148004E-04,      9.528347E-16	
      65,      20,      7.567415E-15,     -4.226820E-16,      1.348558E-03,      4.444619E-04,     -3.188797E-04,     -1.131050E-16	


       Node,    Mode,   Dis
       1,      21,      0.000000E+00,      0.000000E+00,      2.331778E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      21,      0.000000E+00,      0.000000E+00,     -4.347592E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      21,      1.076173E-03,      1.081801E-15,      7.611606E-15,      1.885272E-15,      1.313010E-15,     -1.267538E-15	
      34,      21,      1.084237E-03,      4.937008E-17,      6.193552E-15,      1.740872E-15,      1.628414E-15,     -5.621615E-16	
      41,      21,      1.117419E-04,      2.642343E-16,     -4.647274E-15,      7.286407E-16,      8.854066E-16,     -3.475689E-16	
      49,      21,     -1.083848E-03,      9.478866E-16,      1.172959E-16,     -4.280298E-16,     -1.324930E-15,      7.018240E-16	
      57,      21,     -3.730594E-05,     -1.778902E-16,      4.267781E-15,     -1.584563E-15,      5.860259E-16,     -1.347433E-16	
      65,      21,      1.086410E-03,      8.770675E-16,     -8.439310E-15,     -2.741170E-15,      2.355428E-15,      2.905564E-16	


       Node,    Mode,   Dis
       1,      22,      0.000000E+00,      0.000000E+00,     -5.295256E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      22,      0.000000E+00,      0.000000E+00,      9.772411E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      22,     -8.228640E-16,      6.992533E-16,     -2.439127E-15,     -9.547282E-16,     -1.065010E-15,     -1.490598E-15	
      34,      22,      6.331859E-16,     -6.544148E-16,     -1.472742E-15,     -8.868850E-16,     -7.705114E-16,     -1.080636E-15	
      41,      22,     -5.922974E-16,     -1.506140E-15,      9.894392E-16,     -4.113914E-16,      9.381682E-17,      3.709182E-16	
      49,      22,     -4.763243E-16,     -4.760171E-16,      1.819003E-17,      1.320598E-16,      2.585764E-16,     -7.253153E-16	
      57,      22,      4.692114E-16,     -1.472066E-16,     -8.535443E-16,      6.752309E-16,     -6.192269E-17,      6.892137E-17	
      65,      22,     -2.755310E-15,     -3.656702E-15,      2.423530E-15,      1.218653E-15,     -6.267644E-16,     -2.856825E-15	


       Node,    Mode,   Dis
       1,      23,      0.000000E+00,      0.000000E+00,     -1.350717E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      23,      0.000000E+00,      0.000000E+00,      2.476567E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      23,      1.882594E-15,      3.304540E-05,      2.531175E-15,      1.314236E-16,      1.143868E-15,      5.696612E-04	
